id,datetime,location,text,rating,accessibility,facility,activity,english_translation,aspects,sentiment
07548f977162400f91e0705574e008ef,2019-02-15 12:39:52,Sarae Hills,Tempat yg sangat ramai dan keren bagi buat foto 2,5,neutral,neutral,positive,A very crowded and cool place to take photos,"place, photo","positive, positive"
959bf6000cac4163bc063279f6e9b82c,2019-02-15 13:48:56,Curug Maribaya,Krg terawat. Sampe d atas g tau apa yg mau d lihat,3,neutral,neutral,negative,"Well-maintained. Once upstairs, no idea what there is to see.","maintenance, place","positive, neutral"
8f545bf369ea47c882b306411b7d2fb5,2019-02-15 13:30:28,Stone Garden,mau tanya dong disni bisa masuk elf besar ga ya? thx,4,neutral,neutral,neutral,"May I ask, can big elves enter here? Thanks",,
cbb4275a54354bc18c90b9586330c576,2020-02-15 13:30:19,Stone Garden,Sore atau pagi ...kl mlm di sediakan spot bgs kyknya,5,neutral,neutral,neutral,"Evening or morning... if at night, good spots seem to be available",spot,positive
40a18e30830c4ed78b7e696be1187e9b,2021-02-15 14:05:15,Curug Layung Camp Situ Lembang,Aku belum perna ke sana jadi aku menyukai tempat ini,5,neutral,neutral,neutral,I've never been there before so I like this place,place,positive
2c3da4cf3f824a2bb94e431874ad739a,2019-02-15 13:49:55,Curug Maribaya,Keren tempat yg indah buat muda mudi yg seneng selvy,5,neutral,neutral,positive,"Awesome place, a beautiful spot for young people who like to sing","place, spot","positive, positive"
962f4765933c46fe9a06b18af5a9805e,2020-02-15 12:24:58,Curug Tilu Leuwi Opat,"Kesini pas lagi kering , masih asri kok . Ademmm 😁 …",4,neutral,neutral,positive,"Came here when it was dry, still natural and beautiful. So peaceful 😁 …","place, peacefulness","positive, positive"
6e2855c0eaca42e48d8852bd6ef8377e,2022-02-23 18:13:02,Ciwangun Indah Camp (CIC),Keren kuy.. lanjut ke cikole lebih kuy lagi.. 👍👍👍👍 …,5,neutral,neutral,neutral,Cool.. let's go to Cikole even more! 👍👍👍👍 …,place,positive
0349fd75918749ec87fcb688d0b004bd,2022-10-15 12:40:00,Sarae Hills,bagus buat Poto Poto sayang ga bisa botram di lokasi,3,neutral,negative,positive,"Great for photos, darling, too bad we can't have a picnic at the location.","photo, place","positive, negative"
ae8aba03b288454490d44b8b47398565,2022-02-15 14:05:12,Curug Layung Camp Situ Lembang,"Recommended, nyaman, asri, d best lah kokona mah 👍 …",5,neutral,neutral,positive,"Recommended, comfortable, beautiful, the best, definitely 👍","comfort, place","positive, positive"
219e6b93b1244c64befb65f6872abf98,2022-02-23 18:05:30,Gunung Tangkuban Parahu,"Tempat wisata alam yang menarik, sejuk, dan indah 😍 …",5,neutral,neutral,neutral,"An interesting, cool, and beautiful natural tourist spot 😍 …",place,positive
4601556235934618a6c25973320984e9,2021-02-15 13:23:51,Gunung Putri Lembang,"View soe yari, pagi dan malam hari nya q indah sekali",4,neutral,neutral,positive,"View soe yari, morning and night are so beautiful",view,positive
fbeefe7ba7b843bf9596e4f06a1411f1,2019-02-15 13:48:59,Curug Maribaya,Jalan ya kecil berkelok dn turun naik dn kadang macet,3,negative,neutral,neutral,"The road is small, winding, and goes up and down, and sometimes it's congested.",road,negative
20a3327b66be481691d6022f6df03cb7,2022-02-23 18:23:07,Terminal Wisata Grafika Cikole,Adem bngt udaranya nyaman bersih pas buat yg bln madu,5,neutral,neutral,positive,"The air is really nice and comfortable, perfect for honeymoons.","air, comfort, atmosphere","positive, positive, positive"
077f742604ca47f3ba8db10aa6819ea7,2022-02-15 11:58:46,Curug Malela,Dari Bandung lumayan bagus jalan a jejak gowes 😄🍩🎉🚴 …,5,neutral,neutral,neutral,"From Bandung, the cycling trails are quite good 😄🍩🎉🚴 …","road, atmosphere","positive, positive"
fc850921d03e4a5dbbc03956f62b19ff,2021-02-15 13:23:47,Gunung Putri Lembang,"Ada yg punya nomor bc nya ?
Kira2 buka ga weekend ni?",5,neutral,neutral,neutral,"Does anyone have the BC number?
Do you think they'll be open on the weekend?",,
d10e397fbe974544aec18912828dd366,2022-05-15 13:04:27,Taman Lembah DEWATA,Masuk cuma 20k udah dapet pemandangan sebagus ini 💕 …,3,neutral,neutral,positive,"For only 20k, you get views this good 💕 …","price, view","positive, positive"
de14a623cc5f420cb724326e8cd70880,2022-03-15 12:39:35,Sarae Hills,Utk objek yg cm sgtu tiket masuk nya terlalu mahal...,5,neutral,negative,neutral,The entrance fee is too expensive for an object that's just that.,price,negative
4b0e811b7f7344cebcdbbdfb319cfb9d,2019-02-15 13:29:35,Stone Garden,Ngga nyangka bisa dapet spot foto yg recommended 👍😁 …,3,neutral,neutral,positive,Didn't expect to get a recommended photo spot 👍😁,"photo, spot","positive, positive"
6d6eba3a7c574a00a9e502fe0a3d9192,2019-02-23 18:13:16,Ciwangun Indah Camp (CIC),Ko kaya yg kurang ke urus yah padahal tempatnya indah,3,neutral,negative,neutral,"Maybe the place is a bit neglected, even though it's beautiful.",place,negative
749e494d51e84f1a993b9383e6cb7738,2019-02-15 13:30:15,Stone Garden,Utk yg suka outdoor&foto2; tp makanan cm ada di bawah,5,neutral,neutral,neutral,For those who like outdoors & photos; but food is only available downstairs.,"place, photo, food","positive, positive, negative"
08a540c41ba1406898e77080f209fbf8,2021-02-15 12:25:05,Curug Tilu Leuwi Opat,Rute tdk terlalu ekstrim untuk anak2 atau pun org tua,4,positive,neutral,neutral,The route is not too extreme for children or the elderly.,road,positive
3cd76c45af91471f845cf810c141ab82,2022-02-15 14:09:05,Curug Cimahi / Curug Pelangi,Curug yg sangat tinggi tempat nya cocok buat olah raga,4,neutral,neutral,positive,"A very tall waterfall, its location is suitable for sports","place, spot","positive, positive"
4d70b967b5a94e51950283ee67e94fb2,2019-02-15 13:30:03,Stone Garden,Pemandangan bagus... tp blm nyaman klo ada monyet 🙏😊 …,5,neutral,neutral,positive,Great view... but it's not comfortable if there are monkeys 🙏😊,"view, comfort","positive, negative"
f037c77abb4944eda96746a3492878ea,2022-06-15 13:24:35,Gunung Putri Lembang,Bagus buat nge camp & olah raga tiket masuk terjangkau,5,neutral,neutral,positive,"Good for camping & sports, affordable entrance ticket","place, price","positive, positive"
57550c324e704d56a25829e890e01beb,2022-02-15 13:23:42,Gunung Putri Lembang,"Keren post foto nya , cuma susah ke air :( jauh benget",4,neutral,negative,positive,"Keren posted her picture, but it's hard to get to the water :( it's so far","photo, water, accessibility","positive, negative, negative"
1bbec7fd98f04a668fa68e63b2228c36,2022-07-23 18:13:01,Ciwangun Indah Camp (CIC),Tempat nya bagus dgn hamparan kebun teh dgn air terjun,4,neutral,neutral,neutral,The place is nice with a spread of tea plantations and a waterfall,"place, view","positive, positive"
fec2f40274cd43dda613013091099f8b,2021-02-23 18:34:31,Orchid Forest Cikole,"Mantap, dingin hanya spot foto dan ada live music juga",5,neutral,positive,positive,"Great, it's cool, there's just a photo spot and live music too.","photo, music","positive, positive"
93df05a5937445618b909bcd3fa3d87d,2020-02-15 13:29:04,Stone Garden,jalan menuju kesini lumayan susah dan becek ga ada ojek,5,negative,neutral,neutral,"The road to get here is quite difficult and muddy, there are no motorcycle taxis.","road, taxi","negative, negative"
4ba9c14a31ad436bb10b25261477096c,2019-02-15 13:48:47,Curug Maribaya,"Bagus sih, tapi... Kurang cocok buat penikmat curug 🙏 …",5,neutral,neutral,positive,"It's good, but... not really suitable for waterfall enthusiasts 🙏 ...",place,negative
585d931db858485d9c7446672b98d167,2019-02-15 14:18:34,Curug Sawer Cililin,Hari Minggu gratis tapi ada oknum yg minta karcis masuk,4,neutral,neutral,neutral,Sunday is free but there are people who demand an entrance ticket,"price, place","neutral, neutral"
04e79750b0ab4bdd9cfb7381984178b4,2020-02-15 12:32:54,Taman Hutan Jayagiri Lembang,Udara yang sejuk. Alam Pinus yang indah dan ada wc umum,5,neutral,neutral,positive,Cool air. Beautiful Pine nature and there are public restrooms,"air, restroom, place","positive, positive, positive"
914069d659594f9b8797f5f84e84ed5e,2022-11-15 13:23:00,Gunung Putri Lembang,Buat kemping ceria nih asikk lokasi nya dkt dr parkiran,5,neutral,neutral,positive,"Let's make a fun camp, it's cool because the location is close to the parking lot.","place, parking","positive, positive"
cd483e7e7173400e8767baf9c90cccc1,2020-02-15 13:48:49,Curug Maribaya,"Bagus, dan ada kolam rendam nyam buka sampe malem lagi.",5,neutral,neutral,positive,"Good, and there's a plunge pool, open until late at night.","facility, place","positive, positive"
a66a8dc22e43448e80d74e18405a972b,2022-02-15 14:09:08,Curug Cimahi / Curug Pelangi,"Curug cimahi best view, harus kesini kalo ke Bandung ya",5,neutral,neutral,positive,"Curug Cimahi best view, must go here if you're going to Bandung",view,positive
cb5228da5859491e871ac35f8b8a7b76,2022-10-15 12:39:46,Sarae Hills,"Cukup mhl.. naik jmbatan byr lagi
Bkn 1 paket karcisnya",5,neutral,neutral,negative,Quite expensive.. taking the bridge costs more. It's not included in the ticket price.,"price, place","negative, neutral"
f1c33be4558442c08209eec8e87bbae2,2022-12-23 17:57:53,Floating Market Lembang,"jujur, bagusan pas terakhir kali ke sini tahun 2018 :')",5,neutral,neutral,neutral,"Honestly, it was better the last time I was here in 2018 :')",place,negative
3bf11fb25b33424c815b6ff380060cc8,2022-05-15 12:24:47,Curug Tilu Leuwi Opat,"Curug nya ada banyak, dan curug yg terakhir agak ngumpet",5,neutral,neutral,neutral,"There are many waterfalls, and the last one is a bit hidden.",place,positive
c883b059ea8d462c85d45f6694bbb3ba,2022-02-23 18:13:11,Ciwangun Indah Camp (CIC),Seru banget udara nya segar jadi pengen lagi ke sana hha,5,neutral,neutral,neutral,"It's so exciting, the air is so fresh, it makes me want to go there again, haha",air,positive
c0cf6561799742d8a002c2ab9546c62c,2022-12-23 18:22:41,Terminal Wisata Grafika Cikole,"Tempat yg adem, masuk sdh termasuk wahana flying fox dll",4,neutral,neutral,positive,"A cool place, entrance fee includes flying fox and other attractions.","place, price","positive, neutral"
3d25fe70b63546ce97b2ccf030cdaa43,2022-07-15 12:39:55,Sarae Hills,"Tempat nya enak pelayanan nya juga baik"" bagus buat poto",5,neutral,neutral,positive,"The place is nice, the service is also good. Good for taking photos.","place, service, photo","positive, positive, positive"
c30d569138f246a1b56c6a1e2e769a2e,2021-02-15 12:24:49,Curug Tilu Leuwi Opat,"Sayang pas ke sini airnya surut, tempat bagus dan nyaman",5,neutral,positive,positive,"Too bad the water was low when we came here, it's a nice and comfortable place.","water, place, comfort","negative, positive, positive"
9ac9ec7c0d52490b80e2d0c254f7aaed,2022-05-23 18:22:12,Terminal Wisata Grafika Cikole,"Enak buat krlga, anak bisa maen2 dgn aman jg...keren lah",5,neutral,positive,positive,"Great for families, kids can play safely too... it's cool.","place, spaciousness","positive, positive"
88ea6c1ba2ec4f41b00a452b457dfbfa,2020-02-15 13:49:23,Curug Maribaya,Cuma spot curug mini nya aja yg cukup menghiburku disini,4,neutral,neutral,positive,Only the mini waterfall spots here are enough to entertain me.,"place, view","positive, positive"
5fbbc480b3084a3ba41a81a03118705b,2021-02-15 14:15:40,Bukit Senyum,Mantap pemandangan nya .... apa lagi bawa cewe .... haha,4,neutral,neutral,positive,Awesome the view... especially if you bring a girl.... haha,view,positive
9f085bdc2876409590c3192dc285aa15,2022-02-15 21:07:30,Curug Panganten,"Tidak terlalu tinggi tapi cukup dingin
Siap basah kan ??",5,neutral,neutral,neutral,"Not too high but cold enough
Ready to get wet??",air,neutral
392ec9aad1eb49f386c9d6769eeb3c1e,2021-02-15 13:49:24,Curug Maribaya,"Tempat yg asik, adem, asri daaaannn buat foto2 deeehh 😍 …",5,neutral,neutral,positive,"A cool, cozy, green place, and perfect for taking photos 😍","place, photo","positive, positive"
59b98719b5214190b4885d72bc2536c5,2019-02-15 13:24:45,Gunung Putri Lembang,"
Tempat yang nyaman untuk keluar dari lalu lintas di kota",5,neutral,neutral,positive,A comfortable place to get out of the city traffic,"place, air","positive, negative"
5a8873df8fd546288f03103b3b3224c7,2022-02-15 12:39:39,Sarae Hills,tidak disaran kan untuk akhir pekan dan pas tanggal merah,5,neutral,neutral,neutral,not recommended for weekends and public holidays,place,negative
941695fb23334b9b9bd5dbce4fc5cdfe,2020-02-15 13:23:08,Gunung Putri Lembang,view nya mantep sekali tapu Antrian wc nya panjang banget,4,neutral,negative,positive,"The view is really awesome, but the toilet queue is very long.","view, restroom","positive, negative"
6640328de6294e3db1106e20ba4485e8,2022-05-15 12:39:38,Sarae Hills,"Ada yg kurang pelayanan nya
Penawaran saat mau cap vasfor",5,neutral,negative,neutral,"Something is lacking in the service.
Offer when wanting to get a vasfor cap.",service,negative
57756e3ef30740f5ac8a42756b8fb703,2022-02-15 14:05:11,Curug Layung Camp Situ Lembang,"Tempatnya luas, jadi banyak tempat untuk area campcer 😉 …",5,neutral,neutral,positive,"The place is spacious, so there are many spots for camping 😉 …","place, spaciousness, spot","positive, positive, positive"
610e530f2ff04528bdece00b070d5b60,2019-02-15 13:48:50,Curug Maribaya,"Suka bangt sma pemandangan, hampir nyerah pas pulang 😂😂 …",5,neutral,neutral,positive,"Loved the view so much, almost gave up on the way back 😂😂😂","view, road","positive, negative"
d7ebf409f752414db4462dd9a23c8519,2019-02-23 18:22:39,Terminal Wisata Grafika Cikole,Tempat outbond yg seru dengan suasana yg sejuk dan nyaman,4,neutral,neutral,positive,A fun outbound location with a cool and comfortable atmosphere,"atmosphere, comfort","positive, positive"
5362c28fac9e4ef1ab6c2de69416ee79,2022-09-15 12:39:22,Sarae Hills,"Tempat nya bgus ,mushola nya juga bgus besih adem juga🥰 …",5,neutral,neutral,positive,"The place is good, the prayer room is also good, clean, and cool 🥰","place, restroom, cleanliness, air","positive, positive, positive, positive"
7cc53694544848029afc539912090986,2022-02-23 18:22:56,Terminal Wisata Grafika Cikole,Bagus. Sayang datang nya pas pandemi jd bbrp wahana tutup,5,neutral,neutral,neutral,Good. Too bad it came during the pandemic so several attractions were closed.,place,negative
579a1cc7d5ab46ac965c077773a2365d,2022-02-15 13:29:10,Stone Garden,tempat nya enak indah dah pokonya jadi pengen ke sana lgi,5,neutral,neutral,positive,"The place is nice, beautiful, really makes me want to go back there again",place,positive
92beb67a705a4bda9326c51580ecef79,2019-02-15 13:05:28,Taman Lembah DEWATA,"enak sih luas tp ga banyak spot foto
Masuk 15rb
Motor 5rb",4,neutral,negative,positive,"It's nice and spacious, but there aren't many photo spots.
Entrance is 15,000
Motorcycle is 5,000","spaciousness, photo, price","positive, negative, neutral"
112faeaa4fa6449cab9c0d4ec6ac8686,2020-02-15 14:15:39,Bukit Senyum,"Banyak spot poto, arena bermain utk anak sejuk dan nyaman",5,neutral,neutral,positive,"Many photo spots, a cool and comfortable play area for children","photo, comfort","positive, positive"
6fa26ee9642a49b0afaeef8ed46feef4,2021-02-15 13:43:50,Sanghyang Heuleut,"Cukup asik buat hilanging penat ,,tp hati2 lh klo berenang",5,neutral,neutral,positive,"Quite fun for relieving fatigue, but be careful when swimming","place, water","positive, negative"
ab64a7f8afce43aa830f3665415cefd3,2021-02-23 18:05:33,Gunung Tangkuban Parahu,Sebagai urang Sunda asli ngga pernah bosen main kesini 🤭 …,5,neutral,neutral,neutral,"As a native Sundanese, I never get tired of coming here 🤭…",place,positive
71232b7b164a483f87d121b52c0f11ef,2022-02-15 14:15:40,Bukit Senyum,Tinggal akses jalan ke lokasi aja diperbaiki.. sisa nya ok,5,negative,neutral,neutral,Only the access road to the location needs to be improved.. the rest is okay,"road, place","negative, positive"
09081b74ca5e4d0bbcd856b5f1f49c7b,2021-02-15 12:25:06,Curug Tilu Leuwi Opat,Tempat nya ada buat kemah sama buat santay bareng keluarga,2,neutral,neutral,positive,The place has spots for camping and for relaxing with family.,"place, spot","positive, positive"
7c1505e4ac334f5eb6935a653d222871,2019-02-23 18:23:28,Terminal Wisata Grafika Cikole,Lumayan buat piknik sama s doi wahana foto nya juga banyak,4,neutral,neutral,positive,"Not bad for a picnic with my significant other, and there are many photo spots too.","place, photo","positive, positive"
f6ffbf6a1c774ca9b04678ce6c574898,2020-02-15 13:48:47,Curug Maribaya,Tempatnya bagus..tp syg g bisa lebih dekat ke curugnya 😃 …,5,neutral,neutral,positive,"The place is nice.. but unfortunately, you can't get closer to the waterfall 😃...","place, view","positive, negative"
8cb94d124ec74e3d9ead8e15172df1a3,2022-02-15 12:24:59,Curug Tilu Leuwi Opat,"Lok deket banget dari parkiran..ga perlu jauh"" jln kaki😁 …",5,neutral,positive,positive,The location is very close to the parking lot...no need to walk far😁,"place, parking","positive, positive"
6ad0aaa154c04e918d52358b8f99e154,2020-02-23 18:13:01,Ciwangun Indah Camp (CIC),"Seru, bisa jalan ke kebun teh, air sungainya dingin, seger",5,neutral,neutral,neutral,"Exciting, being able to walk to the tea plantation, the river water is cold, refreshing.","place, water, air","positive, positive, positive"
16e05ee7e07945c29ba28cbcc9dfa356,2023-01-25 13:22:54,Gunung Putri Lembang,Bagus bgt tapi banyak biaya tambahan kayak ke wc aja bayar,5,neutral,neutral,neutral,"Really good, but there are a lot of extra costs, like having to pay even to use the toilet.","price, restroom","negative, negative"
a25161c53dd84624ae2c2f228f6a09ed,2022-02-15 12:32:53,Taman Hutan Jayagiri Lembang,mantap buat berkemah . sama buat berkemah saya kesitu juga,5,neutral,neutral,positive,Great for camping. I also went there for camping.,"place, facility","positive, positive"
6a834560c99f4eb3929e19049925318e,2022-10-15 12:57:05,Kebun Begonia Lembang,Tiket masuknya bisa ditukar es lilin dan es lilinnya enak.,5,neutral,neutral,neutral,"The entrance ticket can be exchanged for ice cream, and the ice cream is delicious.","price, food","positive, positive"
97c7eb1f37064562b88bccac3c22d39a,2019-02-15 13:30:03,Stone Garden,"Tmpt yg bagus buat yg suka selfi,, dan tiket nya pun murah",5,neutral,neutral,positive,"A good place for selfie lovers, and the tickets are cheap too.","place, price","positive, positive"
d95c6eee22144a26b6f817e7bb68577e,2020-02-15 12:57:30,Kebun Begonia Lembang,"Taman yg indah dan terawat, banyak tempat utk berselfi ria",5,neutral,neutral,positive,"A beautiful and well-maintained garden, with many spots for selfie-taking fun.","place, spot, maintenance","positive, positive, positive"
4f08d28774a84cbeb58f0c3da2036190,2023-01-15 12:39:26,Sarae Hills,Bagus view nya masih ada beberapa venue yang belum selesai,5,neutral,neutral,positive,"The view is good, there are still some venues that are not finished.","view, place","positive, neutral"
011b2d8feea14890a9a587bb8660b7bc,2022-02-15 12:24:52,Curug Tilu Leuwi Opat,Track paling seru yg wajib di coba buat semua haiking 🤗🤗 …,5,neutral,positive,neutral,The most exciting trail that is a must-try for all hikers 🤗🤗,place,positive
ce644a53c4b845a9ad01a9aee5851832,2020-02-23 18:22:58,Terminal Wisata Grafika Cikole,"Mantap buat yang mau out bond, camping, dll yg suka outdor",5,neutral,positive,positive,"Great for those who want to go on outbound trips, camping, etc., who like the outdoors.","place, atmosphere","positive, positive"
e352a0af309b4e5285ec97eeb3b7eb4c,2022-02-15 14:13:08,Sanghyang Kenit,Mantap kali gais byk batu-batu gede yg cucok utk spot foto,5,neutral,neutral,positive,"Awesome guys, lots of big rocks perfect for photo spots","place, photo","positive, positive"
8d2e98cf7dce409b88698ecfc289118a,2022-02-15 13:44:02,Sanghyang Heuleut,Tempatnya indah. Cocok untuk orang yang tidak bisa move on,5,neutral,neutral,positive,The place is beautiful. Suitable for people who can't move on.,"place, atmosphere","positive, positive"
7f1d88c307d346b9982a7e833d09ce43,2023-01-15 13:28:37,Stone Garden,"View nya luar biasa apa, apalagi di sore atau pagi hari...",4,neutral,neutral,positive,"The view is amazing, especially in the afternoon or morning...",view,positive
1c79cca5213441d5a03fd4e871be0d97,2020-02-15 13:05:06,Taman Lembah DEWATA,Luas tempat nya. Utk biaya masuk 20rb weekday 25rb weekend,3,neutral,neutral,neutral,"The size of the place. Entrance fee is 20,000 IDR on weekdays and 25,000 IDR on weekends.","place, price","neutral, neutral"
147856a73dfa4cb597c265093fc9f4dc,2022-02-15 13:48:49,Curug Maribaya,Pdhal perjuangan luar biasa tp curug nya kotor bnyk sampah,2,neutral,negative,negative,"Even though the struggle was extraordinary, the waterfall was dirty with a lot of trash.","place, cleanliness","negative, negative"
8e93c0d549474a6d8670559922319746,2019-02-15 13:49:27,Curug Maribaya,Hindari saat musim hujan karna licin & airnya kurang indah,5,negative,negative,neutral,Avoid during the rainy season as it's slippery & the water isn't as beautiful,"place, water","negative, negative"
2df8b76cd6fd4a5daa7782aca378d962,2020-02-15 13:29:05,Stone Garden,Tempat ber selfie ria dengan spot bebatuan~ Stone garden ~,5,neutral,neutral,positive,A selfie spot with rocky outcrops ~ Stone garden ~,"spot, place","positive, positive"
364866b1be4845678c81e15a5f708ca7,2022-07-15 11:58:48,Curug Malela,Luar biasa cuman sayang bngt ada kya sampah2 aja di airnya,5,neutral,neutral,positive,"Amazing, but it's a shame there's trash in the water.",water,negative
f6e9eedc73ac4ab5a7e04470592a4dcc,2019-02-15 13:49:33,Curug Maribaya,"Wisata alam air terjun, pemandangan indah dan udara sejuk .",4,neutral,neutral,positive,"Nature tourism, waterfalls, beautiful scenery, and cool air.","place, view, air","positive, positive, positive"
db1ce2418ba046669d8f22f365e60a60,2022-11-23 18:22:59,Terminal Wisata Grafika Cikole,"Bagus , Indah TerTata dgn Baik , Petugas nya Ramah d Sopan.",5,neutral,positive,positive,"Good, Beautifully Organized, The staff are friendly and polite.",staff,positive
84a09831478f48f6b6fc674fcbff6f2b,2021-02-15 13:30:06,Stone Garden,Pemandangan nya keren buat selfi fto dan enak buat merenung,5,neutral,neutral,positive,The view is cool for selfies and nice for contemplating.,"view, photo","positive, positive"
46e83d9c947c42f0802da19e25cac8b8,2022-02-15 13:23:31,Gunung Putri Lembang,Tempan nya adem buat nenangin hati sama pikiran masih alami,5,neutral,neutral,positive,"The temperature is cool, good for calming the heart and mind, still natural.","air, atmosphere","positive, positive"
bd88fa950fe941ab8179e096d1a1dcb3,2020-02-15 13:30:11,Stone Garden,"Tempat yg bagus, walo panas Ada beberapa saung untuk ngadem",4,neutral,neutral,positive,"A nice place, even though it's hot. There are several huts for cooling off.","place, air, facility","positive, negative, positive"
a061c4ce1e9a4d62b042a25618de69ee,2019-02-15 13:30:06,Stone Garden,Bagus buat hunting foto suka dibuat tempat prewed juga lhoo,5,neutral,neutral,positive,"Great for photo hunting, it's also used for pre-wedding photos, you know.","photo, place","positive, neutral"
cebdd831023f464580a97dcb91796588,2019-02-15 14:15:39,Bukit Senyum,Hutan pinus luas di tambah pemandangan bukit hijau nyaa😎😎 …,5,neutral,neutral,neutral,Expansive pine forest plus a view of the green hills 😎😎,"place, view","positive, positive"
92e8db37d8e9488f8bbf711a93589969,2019-02-15 13:30:16,Stone Garden,Total 18.000 buat naik ke stone garden (belum biaya bensin),5,neutral,neutral,neutral,"Total 18,000 for admission to Stone Garden (not including gas costs)",price,negative
103428b09a254a24b30c0da63c880ce6,2019-02-15 13:23:23,Gunung Putri Lembang,tempat kemping ceria yang asik. sunrise nya juga asik pisan,5,neutral,neutral,positive,A fun and cool campsite. The sunrise is also really cool.,"place, view","positive, positive"
d4477a8f09884312a2db2e879bc3e1bd,2019-02-15 13:48:56,Curug Maribaya,Jalannya jauh tapi ada mamang ojeg yg siap antar jemput 😆 …,3,neutral,neutral,neutral,The road is far but there's an ojeg guy ready to pick you up and drop you off 😆 ...,"road, service","negative, positive"
83073a7814054033a3074403504194c7,2020-02-15 13:23:41,Gunung Putri Lembang,"Mau tanya, kalau disini ada buat penyewaan tenda nya ga ya?",5,neutral,neutral,neutral,"May I ask, is there a tent rental here?",facility,neutral
41fba4f3d56d4ad3bcbadd9bda5acda7,2022-03-15 13:23:52,Gunung Putri Lembang,Kebersihan harus tetep di jaga ya agar tetep indah alam ini,5,neutral,negative,neutral,Cleanliness must be maintained so that this nature remains beautiful.,"cleanliness, place","positive, positive"
39d59885a89f4039b887b4c039f61b2d,2019-02-23 18:12:59,Ciwangun Indah Camp (CIC),Tempat ini cocok sekali untuk keluarga ada outbond nya juga,4,neutral,neutral,neutral,"This place is very suitable for families, it also has outbound activities.","place, facility","positive, positive"
9f1fd31fd98844919d91817e41a90275,2022-04-15 13:43:51,Sanghyang Heuleut,Tempat sangat indah di Bandung barat ..The secret heaven ..,1,neutral,neutral,positive,A very beautiful place in West Bandung.. The secret heaven..,place,positive
9ed1ac2a141541c49040252b1fe5a420,2022-05-15 13:04:48,Taman Lembah DEWATA,"tempat masih dalam tahap finishing, HTM per orang Rp 10.000",5,neutral,neutral,negative,"the place is still in the finishing stage, entrance fee per person Rp 10,000","place, price","neutral, neutral"
af432538434247e4821629a4f46cd7f0,2022-02-15 13:43:46,Sanghyang Heuleut,Aku sih yess kalo mau ke yang alami ya kesini..purba banget,5,neutral,neutral,positive,"I say yes if you want to go somewhere natural, come here... it's really ancient.",place,positive
e40318e7c62a43148e5e7b9c6586ec79,2019-02-15 13:23:48,Gunung Putri Lembang,"Tempat sampah jauh banget, jangan lupa bawa turun sampah mu",4,neutral,negative,neutral,"The trash can is really far, don't forget to bring down your trash.",facility,negative
5518638197e94019b273cb4040da3649,2023-01-23 18:34:22,Orchid Forest Cikole,"Tempatnya adem, jika sore lbh bagus krn ada lampu2 menyala.",1,neutral,neutral,positive,"The place is cool, it's even better in the afternoon because of the lights that turn on.","place, light","positive, positive"
