id,datetime,location,text,rating,accessibility,facility,activity,english_translation,better_english_translation,pred_nllb_baseline,pred_nllb_finetuned
d7fc212237e64ec2b13fbf8d7a21ecd9,15-02-2019 13:43,Sanghyang Heuleut,airnya coklat kalo lagi musim hujan masuk dari atas parkir diatas dekat warung tiket masuk 15rb parkir motor 5rb jalan kebawah dari parkiran sekitar 2km lewat jalan setapak bertanah licin kalo lagi hujan,5,neutral,neutral,neutral,"The water is brown when it's rainy season, it comes from above. Parking is above, near the stall. Entrance fee is 15,000 IDR, motorcycle parking is 5,000 IDR. Walk down from the parking area for about 2km via a dirt path that's slippery when it rains.","The water is brown during the rainy season. The entrance is from the top; you park at the top near the food stall. The entrance ticket is 15,000, motorcycle parking is 5,000. It's about a 2 km walk down from the parking area along a dirt path that's slippery when it rains.",the water is brown if it's rainy season come in from above parking above near ticket stalls 15rb parking motorcycle 5rb road down from the parking about 2km through dirt road if it's raining,"The water is brown if it's the rainy season, entering from the parking lot above near the stall. Entrance fee is 15,000 IDR. Motorcycle parking is 5,000 IDR. The road down from the parking lot is about 2km via slippery dirt paths if it's raining."
602015777fc0476eada510e225c7e13b,15-02-2022 21:07,Curug Panganten,bagus msh alami aksesnya msh blm di buat yg bagus,5,neutral,neutral,positive,"good, still natural, the access is not yet well made","It's nice and still natural, but the access to it isn't good yet.",It's good. It's easy to access.,"Good, still natural, the access has not been made good yet."
b13d04b5037541a6950ddf55d172ed99,23-02-2022 18:12,Ciwangun Indah Camp (CIC),dengan ticket masuk 30rb bisa camping disini naik keatas sudah terlihat hamparan kebun teh dan curug,5,neutral,neutral,neutral,"with an entrance ticket of 30 thousand, you can camp here, going up reveals a stretch of tea plantation and a waterfall","With a 30,000 entrance ticket, you can camp here. Going up, you can already see the expanse of the tea plantation and a waterfall.","With a 30-rb entrance ticket, we can camp here.","With an entrance ticket of 30,000 IDR, you can camp here. Going upstairs, you can already see the expansion of the tea plantation and waterfall."
3001c46ff50f4ca7a355a347cd4ebdaa,15-02-2020 12:57,Kebun Begonia Lembang,tempatnya nyaman dan bagus lokasinya pun mudah di jangkau cocok untuk family gathering,4,positive,neutral,positive,"The place is comfortable and the location is good and easy to reach, suitable for a family gathering.","The place is comfortable and nice, and the location is also easy to reach. Perfect for a family gathering.",The place is convenient and nice the location is also easy to reach suitable for family gathering,"The place is comfortable and good, the location is also easily accessible, suitable for family gatherings."
8ef068023bed4a73b2c4645cfb3aa605,15-02-2021 13:49,Curug Maribaya,sayangnya airnya kotor dengan limbah rumah tangga dan baunya itu lho,3,neutral,neutral,negative,"Unfortunately, the water is dirty with household waste and it stinks.","Unfortunately, the water is dirty with household waste, and the smell is just terrible.","Unfortunately, the water is dirty with household waste and it smells like it.","Unfortunately, the water is dirty with household waste and smells like that."
81d8eed79eee48a2841f8cf08e02a81d,15-06-2022 14:15,Bukit Senyum,tempat indah dn sejuk buat berlibur bersama keluarga tman pacr trjangkau cman jlan kurang bagus,5,negative,neutral,positive,"Beautiful and cool place to holiday with family, friends, or partner, affordable, only the road is not good","A beautiful and cool place for a vacation with family, friends, or a partner. Affordable, but the road is not very good.","It's a nice, cool place to go on vacation with your family.","A beautiful and cool place to vacation with family, not too expensive, not too good."
7facf4282df94e23a2218c3c63fdd18d,23-02-2020 18:22,Terminal Wisata Grafika Cikole,view oke spot foto oke outbound oke camping oke resort oke tempat makan oke walaupun masih banyak yang sedang pembenahan tapi udah cukup bagus dan nyaman,5,neutral,positive,positive,"view okay, photo spot okay, outbound okay, camping okay, resort okay, dining place okay, although many things are still under renovation, it's already good enough and comfortable","The view, photo spots, outbound activities, camping, resort, and dining places are all good. Even though many areas are still under renovation, it's already quite nice and comfortable.",View okay spot photo okay outbound okay camping okay resort okay dining okay even though there's still a lot going on but it's pretty good and comfortable,"The view is okay, photo spots are okay, outbound is okay, camping is okay, resort is okay, dining is okay, even though there are still many that are under renovation, but it's already quite good and comfortable."
882d0cfb8ae54dfd9d4642839a685f50,15-02-2020 13:28,Stone Garden,seperti berada di puncak gunung keren dah parkir 50 tiket masuk per orang 80 bayar tiket dulu di bawah baru bayar parkir diatas,5,neutral,neutral,positive,"Like being on top of a cool mountain, damn. Parking is 50, entrance fee is 80 per person. Pay for the ticket first downstairs, then pay for parking upstairs.","It's like being on a mountaintop, so cool. Parking is 50, the entrance ticket is 80 per person. You pay for the ticket at the bottom first, then pay for parking at the top.",It's like being on top of a cool mountain. I've parked 50 tickets per person.,"It's like being at the top of a cool mountain. Parking is 50 entrance tickets per person, 80 per person. First pay the ticket below, then pay the parking above."
d4477a8f09884312a2db2e879bc3e1bd,15-02-2019 13:48,Curug Maribaya,jalannya jauh tapi ada mamang ojeg yg siap antar jemput,3,neutral,neutral,neutral,"The road is far, but there's an ojek driver ready to pick up and drop off.","The journey is far, but there are motorcycle taxi drivers who are ready for pick-up and drop-off.","It's a long way to go, but there's a shark waiting to pick us up.","The road is a long one, but there's no doubt about it. There are people ready to pick you up."
3de951d197f74ed9bea37e37d629552d,08-02-2023 12:39,Sarae Hills,tempatnya luas dan bagus banget sumpah harus kesini pagi-pagi biar puas bisa explore kesemua tempat banyak banget tempat-tempat yg bisa dijadiin spot foto,5,neutral,neutral,positive,"The place is spacious and really good, swear, you have to come here early in the morning to be able to explore all the places to your heart's content, there are so many places that can be used as photo spots.","The place is spacious and really amazing, I swear. You have to get here early in the morning so you'll have enough time to explore all the spots. There are so many places that can be used as photo spots.",It's a big place and it's beautiful. I swear I have to be here in the morning to be satisfied.,"The place is spacious and very nice. I swear, you have to come here in the morning to be satisfied. You can explore all the places, there are so many places that can be used as photo spots."
e4db0cf66d244b869cc5b1aa65ec69df,23-02-2022 18:04,Gunung Tangkuban Parahu,tempatnya bagus banyak penjual lokal kalo kesini jangan lupa beli tas rajutnya akses jalan sudah cukup bagus,4,positive,positive,neutral,"The place is nice, with many local vendors. If you come here, don't forget to buy the knitted bag. The road access is quite good.","The place is nice with many local vendors. If you come here, don't forget to buy the knitted bags. The road access is quite good.",It's a nice place. There's a lot of local vendors.,"The place is nice, there are many local vendors. If you come here, don't forget to buy a bag later. The road access is quite good."
3609893fe32a498cb17f7484284ff46f,15-02-2020 14:13,Sanghyang Kenit,bagus keren ada tempat bikin takjub dekat dari kota bandung wajib dikunjungi,3,neutral,neutral,neutral,"Great, cool, there's a stunning place close to Bandung city, a must-visit.","Awesome, amazing place near the city of Bandung. A must-visit.",There's a wonderful place near the city of Bandung.,"Good, cool, there's a place to stun near Bandung city, a must-visit."
ca38f580476a4a429e07b8d9171b5b6a,15-01-2023 13:22,Gunung Putri Lembang,keren tapi gak recommended buat yang bawa anak kayaknya kemaren soalnya pas tahun baru banyak yg bawa anak kasian anaknya kan dingin bgt soalnya trus nanjak gitu,5,neutral,neutral,positive,"Cool, but not recommended for those bringing children, it seems. Yesterday, during New Year's, many people brought their kids, and I felt sorry for them because it was very cold and uphill.","It's cool, but probably not recommended for those with kids. I was there on New Year's and a lot of people brought their children; I felt sorry for the kids because it was very cold and it's an uphill climb.","It's cool, but it's not recommended for those who bring kids.","Cool, but not recommended for those bringing children, I think it was yesterday because on New Year's Eve, many brought children. It's a shame the children were very cold because they went up that hill."
938be0fdd56a4300a5a184b7235c7cf9,15-09-2022 12:57,Kebun Begonia Lembang,tempat bagus banyak tempat duduk jd yg bawa bayi kalo cape bisa duduk-duduk dlu tiket masuk mayan terjangkau pas week end jg ga terlalu rame di dalam sayang ga bisa bawa makanan dri luar,2,neutral,positive,positive,"Good place, lots of seating so if you bring a baby and get tired, you can sit down for a bit. Entrance ticket is quite affordable. It's not too crowded inside on the weekend either. Too bad you can't bring food from outside.","Nice place with plenty of seating, so those with babies can sit down and rest if they get tired. The entrance ticket is quite affordable, and it's not too crowded inside even on the weekend. Unfortunately, you can't bring in outside food.",It's a nice place. There's plenty of seats.,"A good place with many seats, so those who bring babies can sit down first if they're tired. The entrance ticket may be affordable on weekends, and it's not too crowded inside. It's a shame you can't bring food from outside."
6e2855c0eaca42e48d8852bd6ef8377e,23-02-2022 18:13,Ciwangun Indah Camp (CIC),keren kuy lanjut ke cikole lebih kuy lagi,5,neutral,neutral,neutral,"Cool, let's head to Cikole, even cooler!","Cool, let's go. Let's continue to Cikole, it'll be even more awesome.","Cool, go to school, go to school.","Cool, go on to Cikole, more fun."
c1a19b8bb7cd408282f500453fbb0bba,15-02-2021 11:58,Curug Malela,tempat wisata curug malela bagus banget semua rasa cape terbayarkan oleh ke indahan gurug melela,5,negative,neutral,positive,"Curug Malela tourist spot is really good, all the fatigue is paid off by the beauty of Curug Malela.","The Malela Waterfall tourist spot is so beautiful, all the tiredness was paid off by the beauty of the waterfall.",Malala waterfall attractions are very nice all the cape tastes paid for by to indahan gurug malala,"Curug Malela tourist spot is very good, all the fatigue is paid off by going to Indahan Gurug Malela."
e07a4177f40c4b779be0302262f5f2db,15-02-2019 13:22,Gunung Putri Lembang,ini cocok untuk yang mau mendaki pemula ketinggiannya 1580mdpl ga jauh dari pemukiman disini juga bisa camping cocok untuk keluarga di atas juga ada toilet asik pokoknya yang belum dan mau kesini silahkan untuk kondisi jalan aman untuk di lalui kendaraan pribadi dan tersedia lahan parkir yg cukup luas,5,positive,neutral,neutral,"This is suitable for beginner hikers, with an altitude of 1580 meters above sea level. It's not far from settlements, and you can also camp here, which is great for families. There are also toilets at the top. It's just great overall. For those who haven't been and want to come here, please do. The road condition is safe for private vehicles, and there is ample parking space available.","This is suitable for beginner hikers, with an altitude of 1580 meters above sea level and not far from residential areas. You can also camp here, making it suitable for families. There is also a toilet at the top. All in all, it's a great place. For those who haven't been and want to come, you definitely should. The road is safe for private vehicles, and a large parking area is available.",This is suitable for beginners who want to climb the height of 1580mdpl not far from the settlement here can also camp suitable for families upstairs there is also toilet seat basically not yet and would like to come here please for the conditions of the road safe to pass by private vehicles and available parking lot is wide enough,"This is suitable for beginner climbers. The altitude is 1580m2, not far from the accommodation. Here you can also camp. It's suitable for families. Upstairs, there are also cool toilets. Basically, those who haven't been here yet and want to come here. Please consider the road conditions to be safe for passing by private vehicles and there is quite a lot of parking available."
140264ff2ab940118c6a222789b6072a,15-02-2022 13:22,Gunung Putri Lembang,gowes adventure bomber adventure cocok buat gowes pecinta alam bisa melihat kota lembang dan kota bandung diatas puncak fasilitas lengkap pokoknya kie pisan,5,neutral,positive,neutral,"Cycling adventure, bomber adventure, suitable for cycling lovers, can see Lembang and Bandung cities from the peak, complete facilities, definitely really cool.","An awesome cycling adventure, perfect for nature lovers. You can see the cities of Lembang and Bandung from the peak. With complete facilities, it's simply the best",Gowes adventure bomber adventure suitable for nature lovers gowes can see the slums and towns of bandung on top of complete facilities basically kie pisan,"Gowes adventure bomber adventure, suitable for nature lovers, you can see Lembang city and Bandung city on top of complete facilities, basically, it's very beautiful."
a14bcc5028dd412ba6400718944de8a8,15-05-2022 12:24,Curug Tilu Leuwi Opat,tempatnya sangat indah luas sehingga hampir di setiap area dapat dijadikan spot photo yang cantik semoga kesan alaminya dapat dijaga oleh pengelola tanpa menambah hiasan hiasan atau mainan anak anak berwarna warni dangdut nan norak,5,neutral,positive,positive,"The place is very beautiful and spacious, so almost every area can be made into a pretty photo spot. Hopefully, its natural impression can be maintained by the management without adding tacky, colorful decorations or children's toys.","The place is very beautiful and spacious, so almost every area can be used as a lovely photo spot. Hopefully, the management can preserve its natural feel without adding tacky, colorful decorations or children's toys.",The place is so beautiful wide that almost in every area can be made a beautiful spot photo hopefully the natural impression can be maintained by the manager without adding decorative ornaments or children's toys colored dangdut norak,"The place is so beautiful and spacious that almost every area can be used as a beautiful photo spot. Hopefully, the natural impressions can be maintained by the management without adding decorative ornaments or colorful children's toys."
aa476e15eeeb4fcd880e953fe4691149,23-01-2023 18:22,Terminal Wisata Grafika Cikole,sejuk tempat luas buat olahraga jalan kaki naik turun tangga juga,5,neutral,positive,positive,"cool spacious place for walking exercise, up and down stairs too","A cool and spacious place for exercise, walking, and also going up and down stairs.","It's a cool, spacious place for foot sports, up and down stairs, too.","Cool, spacious place for exercise, walking up and down stairs too."
5e8da5099bef445c8dc8f60015d42d91,15-02-2022 13:28,Stone Garden,sllu senang wlo pun krja tak ada libur jln untuk liburan pasti di usahain bolos,5,neutral,neutral,neutral,"Happy even though there's no work holiday, I'll definitely try to skip work for a vacation.","Always happy, even though I work with no days off. I'll definitely find a way to skip for a vacation.",I'm glad you're here because there are no holidays.,"Always happy, even though there are no holidays, the road for holidays must be free."
beb9faf41538412690fcf9d567d45899,15-02-2019 11:58,Curug Malela,curugnya bagus baget walaupun airnya ga bersih tapi gaberbau dan viewnya oke banget jalannanya masih cukup mainstream terjal dan menanjak apalagi kalau hujan karena jalannya masih tanah jadi sangat licin fasilitas udah lengkap banget bangunan bangunan sekitar pinggiran curugnya dirapihin lagi,4,negative,positive,positive,"The waterfall is very nice, even though the water isn't clean, it doesn't smell and the view is really great. The path is still quite mainstream, steep and uphill, especially when it rains because the road is still dirt so it's very slippery. The facilities are very complete, the buildings around the edge of the waterfall have been tidied up again.","The waterfall is very beautiful. Even though the water isn't clean, it doesn't smell and the view is fantastic. The path is still quite challenging, steep and uphill, especially when it rains because it's still a dirt path so it gets very slippery. The facilities are very complete, and the buildings around the edge of the waterfall are being tidied up.",The waterfall is nice baget although the water is not clean but it smells and the viewer is okay the road is still quite mainstream narrowed and climbing especially if it rains because the road is still dirt so very smooth the facilities are very complete the buildings buildings around the edge of the waterfall are refined again,"The waterfall is nice and beautiful, even though the water isn't clean, it smells and the view is very good. The road is still quite mainstream, steep and uphill, especially when it rains because the road is still dirt, so it's very slippery. The facilities are very complete. The buildings around the waterfall edge have been refurbished again."
569bc55769d44a2eabb828ca10cb4531,23-11-2022 17:57,Floating Market Lembang,tau kan arti recommended pokoknya datang dan rasakan sensasinya,5,neutral,neutral,neutral,"You know what recommended means, just come and feel the sensation.",You know the meaning of 'recommended'. Just come and experience the sensation.,You know what I'm talking about?,"You know what that means, definitely recommended to come and feel the sensation."
8762e7db8b8947deaa09b7c54a0b7fbd,23-02-2019 18:22,Terminal Wisata Grafika Cikole,mantap pokoknya tiket masuk sangat terjangkau pemandangan dan suasana alamnya bikin adem hati recommended banget lah utk liburan di akhir pekan,5,neutral,positive,positive,"Awesome, the entrance ticket is very affordable, the scenery and natural atmosphere are very soothing. Highly recommended for a weekend getaway.","Basically, it's great. The entrance ticket is very affordable, and the scenery and natural atmosphere are so soothing. Highly recommended for a weekend getaway.",The view and the atmosphere of nature are very peaceful.,"Awesome, the entrance ticket is very affordable, the scenery and natural atmosphere are refreshing, highly recommended for a weekend vacation."
b5306ab69b6441c1ae3a60fc36af6740,15-02-2022 13:04,Taman Lembah DEWATA,tempat yang sangat bagus suasananya adeem dan tidak terlalu rame viewnya luar biasa hiburan untuk anak-anak ada sepeda air dll berkuda penyewaan sepeda listrik scooter dll utk keliling lembah makanannya yg kurang variatif dan tidak boleh membawa makanan dr luar,5,neutral,negative,positive,"A very nice place, the atmosphere is cool and not too crowded. The view is amazing. There is entertainment for children, like paddle boats etc., horse riding, and rental of electric bikes, scooters etc. for touring the valley. The food is lacking variety and outside food is not allowed.","A very nice place, the atmosphere is calm and not too crowded. The view is extraordinary. There is entertainment for children like paddle boats, etc., horseback riding, and rentals for electric bikes, scooters, etc., to go around the valley. The food is not very varied, and you are not allowed to bring food from outside.",It's a very nice place the atmosphere is smooth and not too crowded the viewing is incredible entertainment for the kids there are water bikes etc. riding electric bike rental scooters etc. for walking around the valley its food is less varied and should not bring food dr outside,"A very good place, the atmosphere is peaceful and not too crowded, the view is extraordinary, entertainment for children, there are water bikes, etc. Riding electric bicycle rentals, scooters, etc. For touring the valley, the food is not very varied and you must not bring food from outside."
e5741206ea054a21943978453e03876b,23-02-2020 18:13,Ciwangun Indah Camp (CIC),indah sejuk dekat sejajar dengan tiga atau empat air terjun tepat sebelum air terjun,5,neutral,neutral,neutral,beautiful cool next to parallel with three or four waterfalls just before the waterfall,"Beautiful and cool, close and parallel to three or four waterfalls right before the waterfall.",Beautiful cold near parallel with three or four waterfalls just before the waterfall,"Beautiful, cool, close to aligning with three or four waterfalls just before the waterfall."
5e2bb048a90d4c16a5ae840ef97afdb4,25-01-2023 14:13,Sanghyang Kenit,banyak buat spot foto khususnya preweding fotographer sekitaran bandung sudah banyak tau tempat ini lokasi ini daerah waduk plta saguling,5,neutral,neutral,positive,"Many create photo spots, especially for pre-wedding photographers around Bandung. Many photographers already know this place. This location is in the Saguling PLTA dam area.","There are many photo spots, especially for pre-wedding shoots. Many photographers around Bandung are already familiar with this place. This location is in the Saguling hydropower dam area.",Many make spot photos especially preweding photographers around Bandung already know a lot about this place this location area reservoir plta saguling,"There are many photo spots, especially for pre-wedding photographers around Bandung. Many already know this place. This location is the Pluta Saguling Reservoir area."
c095885cc691475380c9bbf907d8d00b,23-02-2020 18:22,Terminal Wisata Grafika Cikole,the best place lumayan trackingnya nanjak dan turunannya viewnya oke banget walaupun rame kalo hari libur overall keren banget,5,neutral,neutral,positive,"The best place, the tracking is okay, with ups and downs. The view is really great, even though it's crowded on holidays. Overall, it's really cool.","The best place. The hike is pretty challenging with its uphills and downhills, and the view is amazing. Although it's crowded on holidays, overall it's fantastic.",The best place is pretty tracking the ascents and descents the viewers are fine even though crowds if the holidays overall are cool,"The best place is quite good, the tracking is up and down, the view is really good even though it's crowded on holidays, overall it's really cool."
37320d1af0b8451cabf7184fc93a62c2,15-02-2019 13:43,Sanghyang Heuleut,waktu paling pas buat main kesini saat lg kemarau saya juni 2018 air lg bening bgt hijau ke biru-biruan karena trekking untuk ke lokasi lumayan disarankan pake sepatu yg tidak licin ga usah bawa banyak barang di sana juga ada warung dan warganya ramah-ramah,5,neutral,neutral,neutral,"The best time to visit is during the dry season. I came in June 2018 and the water was crystal clear, a greenish-blue color. Because the trek to the location is quite challenging, it's recommended to wear non-slip shoes. You don't need to bring much, as there are also stalls there and the locals are very friendly.","The best time to visit is during the dry season. I was here in June 2018, and the water was very clear, a greenish-blue color. Because the trek to the location is quite a ways, it's recommended to wear non-slip shoes. You don't need to bring a lot of things; there are also small food stalls there, and the locals are very friendly.",The best time to play here is when I'm dry June 2018 the water is clear green to blue because the trekking to the location is pretty recommended to wear slippery shoes don't bring much stuff there are also shops and the citizens are friendly,The best time to come here was during my drought in June 2018. The water is still very clear green to blue because the trekking to the location is quite good. It's recommended to wear slippery shoes. Don't bring many things there. There are also stalls there and the residents are friendly.
