id,datetime,location,text,rating,accessibility,facility,activity,english_translation,better_english_translation,LSTM_pred,pred_helsinki_baseline,pred_helsinki_finetuned,pred_nllb_baseline,pred_nllb_finetuned,mbart_baseline,pred_mbart_finetuned
a0fcc97a662349478b0568574864d7bc,23-01-2023 17:57,Floating Market Lembang,datang dipenghujung liburan sekolah ternyata masih rame tapi masih wajar tidak terlalu padat banyak spot-spot untuk berfoto tapi lebih suka mencoba makan sate ayam dan sate kelinci dari pasar apungnya tentunya dengan cara tukar koin untuk transaksinya satenya lezat bumbunnya harganya masih bisa ditoleransi lah,4,neutral,neutral,neutral,"Arriving at the end of the school holidays, it was surprisingly still crowded but within reasonable limits, not too packed. There were many photo spots, but I preferred trying the chicken and rabbit satay from the floating market, of course, by exchanging coins for transactions. The satay was delicious, the sauce was good, and the price was still tolerable.","Came at the end of the school holidays and it turned out to be still crowded, but it was manageable and not too packed. There are many spots for photos, but I preferred trying the chicken satay and rabbit satay from its floating market. Of course, transactions are done by exchanging coins. The satay and its sauce were delicious, and the price was still tolerable.",the place is the the the the the the the the the the the the the the the,"Coming to the end of the school holidays is still lame, but it's still normal not to get too many spots for a picture, but rather try to eat chicken sate and rabbit sate from the floating market. Of course, with the exchange of coins for the trade, it's delicious. It's still tolerable.","Came to the end of the school holidays, it turned out to be still crowded, but it's still reasonable. There are many photo spots for photos, but it's more enjoyable to try eating chicken sate and rabbit sate from the floating market. Of course, by exchanging coins for the transactions, the seasoning is delicious, the prices can still be tolerated.","It's not too crowded, but it's not too crowded. There's plenty of places to take pictures, but I'd rather try some chicken and rabbit sauce from the floating market.","Coming at the end of the school holidays, it turned out to be still crowded, but it's still natural not to be too crowded. There are many spots for photos, but I prefer to try eating chicken and rabbit satay from the floating market. Of course, by exchanging coins for the transaction, the satay is delicious, and the prices are still tolerable.","come by the end of school, it turns out it's still kind of messy, but it's fair to say it's not too crowded to take a picture, but I'd rather be a kid who's eaten chicken and rabbit sausages from the floating market, of course in exchange for a bargain, the sausages are delicious, the spices are delicious, the price's still negotiable.","Arriving on a school holiday, it turned out to be still crowded, but it's reasonable not to be too crowded with many photo spots. However, I prefer to try eating sate chicken and sate rabbits from the floating market, of course, by exchanging coins for transactions. The sate is delicious, the price is still tolerable."
8bf283d66d3a45368e1ade518f3d1d00,15-02-2021 11:58,Curug Malela,tempat yang bagus untuk refreshing wonderfull butuh perjuangan dari parkir kendaraan untuk sampai dicurug malela dan sebaliknya kedepan perlu dipikirkan agar lebih mudah untuk sampai di curug bagaimana nih dinas pariwisata,4,negative,negative,positive,"A great place to refresh, wonderful, but it takes a struggle from parking the vehicle to get to Curug Malela and vice versa. In the future, it needs to be considered so that it's easier to reach the waterfall. What do you think, Department of Tourism?","A great place for refreshing, wonderful. It takes a struggle to get from the vehicle parking to Malela waterfall and back. For the future, they need to think about how to make it easier to get to the waterfall. What's the plan, tourism department?",the place is the the the the the the the the the the the the the the the,A good place to refresh the wonderful needs to struggle from car park to malla and otherwise it needs to be thought out so it's easier to get to curug how this is the tourism service.,"A great place for refreshing, amazing, and it takes a struggle from vehicle parking to the waterfall, and in the future, it needs to be considered so it's easier to reach the waterfall. What about this tourist service?",A good place to refresh wonderfull needs a struggle from parking vehicles to get to the falls and instead the future needs to be thought of to make it easier to get to the falls how nich tourism service,"A great place for refreshing, wonderfull. It takes a struggle from parking to reaching Malela waterfall, and vice versa. In the future, it needs to be considered to make it easier to reach the waterfall.","A great place to have a wonderful refreshment needs to struggle from parking lots to getting into traffic jams and vice versa, and in the future, it needs to be thought about making it easier to get into touristic niches.","A great place to refresh, wonderful. It takes a struggle from parking to reach Malela waterfall, and vice versa. In the future, consideration needs to be given to making it easier to reach Nyala waterfall. It's a tourist destination."
6a834560c99f4eb3929e19049925318e,15-10-2022 12:57,Kebun Begonia Lembang,tiket masuknya bisa ditukar es lilin dan es lilinnya enak,5,neutral,neutral,neutral,The entrance ticket can be exchanged for popsicles and the popsicles are delicious.,"The entrance ticket can be exchanged for a popsicle, and the popsicle is delicious.",the place is the the the the the the the the the the the the the the the,The entry pass can be exchanged with wax ice and the wax ice is delicious,"The entrance ticket can be exchanged for ice, wax, and ice. The wax is delicious.",Tickets can be traded for ice cream and ice cream is delicious.,The entrance ticket can be exchanged for ice cream and the ice cream is delicious.,"Tickets can be exchanged for candy, and candy is delicious.","The entrance ticket can be exchanged for ice cream, and the ice cream is delicious."
6a98db66ff044da78a1c7821fcf8778c,15-02-2021 12:32,Taman Hutan Jayagiri Lembang,tempatnya enak buat hiking makanan cukup terjangkau harganya,5,neutral,positive,positive,"The place is nice for hiking, the food is quite affordable.",The place is nice for hiking and the food is reasonably priced.,the place is the the the the the the the the the the the the the the the,It's a good place to go. Food hiking is quite affordable.,"The place is nice for hiking, the food is quite affordable.",The place is great for hiking food is quite affordable,"The place is nice for hiking, the food is quite affordable, the price is high.","It's delicious for hiking, it's pretty affordable.","The place is nice for hiking, the food is quite affordable and the prices are reasonable."
d7fc212237e64ec2b13fbf8d7a21ecd9,15-02-2019 13:43,Sanghyang Heuleut,airnya coklat kalo lagi musim hujan masuk dari atas parkir diatas dekat warung tiket masuk 15rb parkir motor 5rb jalan kebawah dari parkiran sekitar 2km lewat jalan setapak bertanah licin kalo lagi hujan,5,neutral,neutral,neutral,"The water is brown when it's rainy season, it comes from above. Parking is above, near the stall. Entrance fee is 15,000 IDR, motorcycle parking is 5,000 IDR. Walk down from the parking area for about 2km via a dirt path that's slippery when it rains.","The water is brown during the rainy season. The entrance is from the top; you park at the top near the food stall. The entrance ticket is 15,000, motorcycle parking is 5,000. It's about a 2 km walk down from the parking area along a dirt path that's slippery when it rains.",the place is the the the the the the the the the the the the the the the,The water is brown when the rainy season comes in from above the parking lot near the 15rb ticket in. The 5rb motor park is down from the parking lot. It's about 2km through a slippery trail.,"The water is brown when it's rainy season, entering from above, parking up close to the stall. Entrance ticket is 15,000 IDR. Motorcycle parking is 5,000 IDR. The road down from the parking lot is about 2km. The trail is slippery when it rains.",the water is brown if it's rainy season come in from above parking above near ticket stalls 15rb parking motorcycle 5rb road down from the parking about 2km through dirt road if it's raining,"The water is brown if it's the rainy season, entering from the parking lot above near the stall. Entrance fee is 15,000 IDR. Motorcycle parking is 5,000 IDR. The road down from the parking lot is about 2km via slippery dirt paths if it's raining.","It's brown. It's raining again. It's coming in from the top of the parking lot next to the ticket desk. It's coming in at 15 bucks. It's coming in at five bucks. It's coming down the driveway, about two kilometers down the driveway. It's raining again.","The water is brown if it's the rainy season. Entering from above, parking near the stall. Entrance ticket is 15,000 IDR. Motorcycle parking is 5,000 IDR. The road down from the parking lot is about 2km. Walking along the path is slippery if it's raining."
602015777fc0476eada510e225c7e13b,15-02-2022 21:07,Curug Panganten,bagus masih alami aksesnya masih belum di buat yang bagus,5,neutral,neutral,positive,"good, still natural, the access is not yet well made","It's nice and still natural, but the access to it isn't good yet.",the place is the the the the the the the the the the the the the the the,It's good. It's natural. The access's not made yet.,"The access is still good, but the access is still not good.",It's good. It's easy to access.,"Good, still natural, the access has not been made good yet.",It's natural. It's accessible. It's built in.,"Good, but the access is still natural, not for the good ones."
b13d04b5037541a6950ddf55d172ed99,23-02-2022 18:12,Ciwangun Indah Camp (CIC),dengan ticket masuk 30rb bisa camping disini naik keatas sudah terlihat hamparan kebun teh dan curug,5,neutral,neutral,neutral,"with an entrance ticket of 30 thousand, you can camp here, going up reveals a stretch of tea plantation and a waterfall","With a 30,000 entrance ticket, you can camp here. Going up, you can already see the expanse of the tea plantation and a waterfall.",the place is the the the the the the the the the the the the the the the,"With tickets coming in, 30rbs can rot. Up here. It looks like a bed of tea and curug.","With entrance ticket 30,000 IDR, you can camp here. Upstairs, it's already visible. The tea garden and waterfall are spread.","With a 30-rb entrance ticket, we can camp here.","With an entrance ticket of 30,000 IDR, you can camp here. Going upstairs, you can already see the expansion of the tea plantation and waterfall.","With an entry fee of 30 bucks you can camp here, up to the top you can see the ravages of tea gardens and crows.","With an entrance ticket of 30,000 IDR, you can camp here. As you go up, you already see the expanse of tea plantations and waterfalls."
3001c46ff50f4ca7a355a347cd4ebdaa,15-02-2020 12:57,Kebun Begonia Lembang,tempatnya nyaman dan bagus lokasinya pun mudah di jangkau cocok untuk family gathering,4,positive,neutral,positive,"The place is comfortable and the location is good and easy to reach, suitable for a family gathering.","The place is comfortable and nice, and the location is also easy to reach. Perfect for a family gathering.",the place is the the the the the the the the the the the the the the the,It's nice and nice. It's easy to reach. It's perfect for family gathering.,"The place is comfortable and nice, the location is also easy to reach, suitable for family gatherings.",The place is convenient and nice the location is also easy to reach suitable for family gathering,"The place is comfortable and good, the location is also easily accessible, suitable for family gatherings.","It's comfortable, it's good location, it's within easy reach, it's ideal for a family gathering.","The place is comfortable and good, the location is also easily accessible, suitable for family gatherings."
8ef068023bed4a73b2c4645cfb3aa605,15-02-2021 13:49,Curug Maribaya,sayangnya airnya kotor dengan limbah rumah tangga dan baunya itu lho,3,neutral,neutral,negative,"Unfortunately, the water is dirty with household waste and it stinks.","Unfortunately, the water is dirty with household waste, and the smell is just terrible.",the place is the the the the the the the the the the the the the the the,Unfortunately the water is dirty with household waste and it smells like it.,"Unfortunately, the water is dirty with domestic waste, and the smell is just that.","Unfortunately, the water is dirty with household waste and it smells like it.","Unfortunately, the water is dirty with household waste and smells like that.","Unfortunately, the water's dirty with household waste and it smells putrid.","Unfortunately, the water is dirty with trash from the stairs and the smell is just that."
81d8eed79eee48a2841f8cf08e02a81d,15-06-2022 14:15,Bukit Senyum,tempat indah dan sejuk buat berlibur bersama keluarga teman pacr trjangkau cuman jlan kurang bagus,5,negative,neutral,positive,"Beautiful and cool place to holiday with family, friends, or partner, affordable, only the road is not good","A beautiful and cool place for a vacation with family, friends, or a partner. Affordable, but the road is not very good.",the place is the the the the the the the the the the the the the the the,It's a nice place to go on vacation with a family trip.,"A beautiful, and cool place for a holiday with family. It's really not very good.","It's a nice, cool place to go on vacation with your family.","A beautiful and cool place to vacation with family, not too expensive, not too good.","It was a nice, cool place to have a holiday with my uncle's family, but not a great place to hang out.","A beautiful and cool place for a holiday with family. My friend and I are from Bandung, but it's not very good yet."
7facf4282df94e23a2218c3c63fdd18d,23-02-2020 18:22,Terminal Wisata Grafika Cikole,view oke spot foto oke outbound oke camping oke resort oke tempat makan oke walaupun masih banyak yang sedang pembenahan tapi sudah cukup bagus dan nyaman,5,neutral,positive,positive,"view okay, photo spot okay, outbound okay, camping okay, resort okay, dining place okay, although many things are still under renovation, it's already good enough and comfortable","The view, photo spots, outbound activities, camping, resort, and dining places are all good. Even though many areas are still under renovation, it's already quite nice and comfortable.",the place is the the the the the the the the the the the the the the the,View ok photo spot ok outbound ok tawling resort ok resort ok eat place ok even though there are still a lot of cleaning but it is quite nice and comfortable,"The view is okay, the photo spots are okay, outbound, okay camping. The resort is okay, the dining area is okay, even though there are still many improvements, but it's quite good and comfortable.",View okay spot photo okay outbound okay camping okay resort okay dining okay even though there's still a lot going on but it's pretty good and comfortable,"The view is okay, photo spots are okay, outbound is okay, camping is okay, resort is okay, dining is okay, even though there are still many that are under renovation, but it's already quite good and comfortable.","view oke spot photo oke outbound oke campsite oke resort oke eating place oke even though there's still a lot of moisture, but you still feel pretty good and comfortable.","The view is okay, the photo spots are okay, the outbound is okay, the camping is okay, the resort is okay, the food is okay. Even though many people are still struggling, it's already pretty good and comfortable."
882d0cfb8ae54dfd9d4642839a685f50,15-02-2020 13:28,Stone Garden,seperti berada di puncak gunung keren deh parkir 50 tiket masuk per orang 80 bayar tiket dulu di bawah baru bayar parkir diatas,5,neutral,neutral,positive,"Like being on top of a cool mountain, damn. Parking is 50, entrance fee is 80 per person. Pay for the ticket first downstairs, then pay for parking upstairs.","It's like being on a mountaintop, so cool. Parking is 50, the entrance ticket is 80 per person. You pay for the ticket at the bottom first, then pay for parking at the top.",the place is the the the the the the the the the the the the the the the,It's like being on top of a cool mountain. 50 parking tickets per person. 80 paying for tickets first downstairs.,"It's like being on the top of a cool mountain, parking is 50 entrance tickets per person. 80, pay the ticket first downstairs, then pay for parking upstairs.",It's like being on top of a cool mountain. I've parked 50 tickets per person.,"It's like being at the top of a cool mountain. Parking is 50 entrance tickets per person, 80 per person. First pay the ticket below, then pay the parking above.","It's like being at the top of a mountain and having a parking lot, 50 tickets per person, 80 tickets at the bottom, and then you're paid to park on top.","It's like being at the summit of a cool mountain. Parking is 50, entrance ticket per person is 80. Pay for the ticket first at the bottom, then pay for parking upstairs."
d4477a8f09884312a2db2e879bc3e1bd,15-02-2019 13:48,Curug Maribaya,jalannya jauh tapi ada mamang ojeg yang siap antar jemput,3,neutral,neutral,neutral,"The road is far, but there's an ojek driver ready to pick up and drop off.","The journey is far, but there are motorcycle taxi drivers who are ready for pick-up and drop-off.",the place is the the the the the the the the the the the the the the the,It's a long way. But there's someone ready for you to pick up.,"The road is far, but there are people who are ready to take you.","It's a long way to go, but there's a shark waiting to pick us up.","The road is a long one, but there's no doubt about it. There are people ready to pick you up.","It's a long way off, but there's a meadow ready to graze.",The road is far but there are guides who are ready to take you.
3de951d197f74ed9bea37e37d629552d,08-02-2023 12:39,Sarae Hills,tempatnya luas dan bagus banget sumpah harus kesini pagi-pagi biar puas bisa explore kesemua tempat banyak banget tempat-tempat yang bisa dijadikan spot foto,5,neutral,neutral,positive,"The place is spacious and really good, swear, you have to come here early in the morning to be able to explore all the places to your heart's content, there are so many places that can be used as photo spots.","The place is spacious and really amazing, I swear. You have to get here early in the morning so you'll have enough time to explore all the spots. There are so many places that can be used as photo spots.",the place is the the the the the the the the the the the the the the the,It's a big place. It's nice. I swear to you.,The place is spacious and very good. I swear to come here in the morning so I can be satisfied to explore all the places. There are so many places that can be used for photo spots.,It's a big place and it's beautiful. I swear I have to be here in the morning to be satisfied.,"The place is spacious and very nice. I swear, you have to come here in the morning to be satisfied. You can explore all the places, there are so many places that can be used as photo spots.","It's spacious, it's beautiful, and I swore I'd have to get there in the morning to be able to explore all of these places, and it's a lot of places to be spotted.","The place is very spacious and nice, I swear I had to come here in the morning to be satisfied, I could explore all the places. There are so many places that can be made into photo spots."
e4db0cf66d244b869cc5b1aa65ec69df,23-02-2022 18:04,Gunung Tangkuban Parahu,tempatnya bagus banyak penjual lokal kalo kesini jangan lupa beli tas rajutnya akses jalan sudah cukup bagus,4,positive,positive,neutral,"The place is nice, with many local vendors. If you come here, don't forget to buy the knitted bag. The road access is quite good.","The place is nice with many local vendors. If you come here, don't forget to buy the knitted bags. The road access is quite good.",the place is the the the the the the the the the the the the the the the,Nice place. A lot of local sellers. Come here.,"The place is nice, there are many local vendors. If you come here, don't forget to buy a bag. The traffic access is good enough.",It's a nice place. There's a lot of local vendors.,"The place is nice, there are many local vendors. If you come here, don't forget to buy a bag later. The road access is quite good.","It's a nice place, lots of local fishermen, don't forget to buy a shoe, access to the streets is pretty good.","The place is nice, there are many local vendors. If you come here, don't forget to buy a stretcher bag. The road access is quite good."
3609893fe32a498cb17f7484284ff46f,15-02-2020 14:13,Sanghyang Kenit,bagus keren ada tempat bikin takjub dekat dari kota bandung wajib dikunjungi,3,neutral,neutral,neutral,"Great, cool, there's a stunning place close to Bandung city, a must-visit.","Awesome, amazing place near the city of Bandung. A must-visit.",the place is the the the the the the the the the the the the the the the,Great. Cool. There's a great place to be.,"Great, cool, there's a place to be amazed, close to Bandung city. You must visit.",There's a wonderful place near the city of Bandung.,"Good, cool, there's a place to stun near Bandung city, a must-visit.","And it's pretty cool, there's a bikini line up nearby that's a must-see.","Good, cool, there's a place to be amazed, close to Bandung city, a must-visit."
ca38f580476a4a429e07b8d9171b5b6a,15-01-2023 13:22,Gunung Putri Lembang,keren tapi enggak recommended buat yang bawa anak kayaknya kemarin soalnya pas tahun baru banyak yang bawa anak kasihan anaknya kan dingin banget soalnya terus nanjak begitu,5,neutral,neutral,positive,"Cool, but not recommended for those bringing children, it seems. Yesterday, during New Year's, many people brought their kids, and I felt sorry for them because it was very cold and uphill.","It's cool, but probably not recommended for those with kids. I was there on New Year's and a lot of people brought their children; I felt sorry for the kids because it was very cold and it's an uphill climb.",the place is the the the the the the the the the the the the the the the,"fontcolor="" # FFFF00""coolbutnotcommendedto thechild fontcolor="" # FFFF00""like yesterday fontcolor="" # FFFF00""becausenewnewyears fontcolor="" # FFFF00""manypeopletakethe child fontcolor="" # FFFF00""willbe cool fontcolor="" # FFFF00""becausethat'swhy fontcolor="" # FFFF00""then fontcolor="" # FFFF00""so fontcolor="" # FFFF00""so fontcolor="" # FFFF00""whenthenewnew","It's cool, but it's not recommended for those who bring children. It seems like it was yesterday because during the New Year's, many people brought their children, they felt very cold because they were uphill.","It's cool, but it's not recommended for those who bring kids.","Cool, but not recommended for those bringing children, I think it was yesterday because on New Year's Eve, many brought children. It's a shame the children were very cold because they went up that hill.","It's cool, but it's not recommended for kids who bring skis because it's cold in New Year's Eve, and it's not recommended for kids who bring skis because it's raining.","It's cool, but not recommended for those who bring children. It seems like it was yesterday because it was New Year's, and many people brought children because their children can be very cold because it's too cold."
