,id,datetime,location,text,rating,accessibility,facility,activity,english_translation,better_english_translation,LSTM_pred
10,a0fcc97a662349478b0568574864d7bc,23-01-2023 17:57,Floating Market Lembang,datang dipenghujung liburan sekolah ternyata masih rame tapi masih wajar tidak terlalu padat banyak spot-spot untuk berfoto tapi lebih suka nyobain makan sate ayam dan sate kelinci dari pasar apungnya tentunya dengan cara tukar koin untuk transaksinya satenya lezat bumbunnya harganya masih bisa ditoleransi lah,4,neutral,neutral,neutral,"Arriving at the end of the school holidays, it was surprisingly still crowded but within reasonable limits, not too packed. There were many photo spots, but I preferred trying the chicken and rabbit satay from the floating market, of course, by exchanging coins for transactions. The satay was delicious, the sauce was good, and the price was still tolerable.","Came at the end of the school holidays and it turned out to be still crowded, but it was manageable and not too packed. There are many spots for photos, but I preferred trying the chicken satay and rabbit satay from its floating market. Of course, transactions are done by exchanging coins. The satay and its sauce were delicious, and the price was still tolerable.",the place is the the the the the the the the the the the the the the the
11,8bf283d66d3a45368e1ade518f3d1d00,15-02-2021 11:58,Curug Malela,tempat yg bagus untuk refreshing wonderfull butuh perjuangan dari parkir kendaraan utk sampai dicurug malela dan sebaliknya kedepan perlu dipikirkan agar lebih mudah utk sampai di curug gimana nich dinas pariwisata,4,negative,negative,positive,"A great place to refresh, wonderful, but it takes a struggle from parking the vehicle to get to Curug Malela and vice versa. In the future, it needs to be considered so that it's easier to reach the waterfall. What do you think, Department of Tourism?","A great place for refreshing, wonderful. It takes a struggle to get from the vehicle parking to Malela waterfall and back. For the future, they need to think about how to make it easier to get to the waterfall. What's the plan, tourism department?",the place is the the the the the the the the the the the the the the the
12,6a834560c99f4eb3929e19049925318e,15-10-2022 12:57,Kebun Begonia Lembang,tiket masuknya bisa ditukar es lilin dan es lilinnya enak,5,neutral,neutral,neutral,The entrance ticket can be exchanged for popsicles and the popsicles are delicious.,"The entrance ticket can be exchanged for a popsicle, and the popsicle is delicious.",the place is the the the the the the the the the the the the the the the
13,6a98db66ff044da78a1c7821fcf8778c,15-02-2021 12:32,Taman Hutan Jayagiri Lembang,tempatnya enak buat hiking makanan cukup terjangkau harganya,5,neutral,positive,positive,"The place is nice for hiking, the food is quite affordable.",The place is nice for hiking and the food is reasonably priced.,the place is the the the the the the the the the the the the the the the
14,d7fc212237e64ec2b13fbf8d7a21ecd9,15-02-2019 13:43,Sanghyang Heuleut,airnya coklat kalo lagi musim hujan masuk dari atas parkir diatas dekat warung tiket masuk 15rb parkir motor 5rb jalan kebawah dari parkiran sekitar 2km lewat jalan setapak bertanah licin kalo lagi hujan,5,neutral,neutral,neutral,"The water is brown when it's rainy season, it comes from above. Parking is above, near the stall. Entrance fee is 15,000 IDR, motorcycle parking is 5,000 IDR. Walk down from the parking area for about 2km via a dirt path that's slippery when it rains.","The water is brown during the rainy season. The entrance is from the top; you park at the top near the food stall. The entrance ticket is 15,000, motorcycle parking is 5,000. It's about a 2 km walk down from the parking area along a dirt path that's slippery when it rains.",the place is the the the the the the the the the the the the the the the
15,602015777fc0476eada510e225c7e13b,15-02-2022 21:07,Curug Panganten,bagus msh alami aksesnya msh blm di buat yg bagus,5,neutral,neutral,positive,"good, still natural, the access is not yet well made","It's nice and still natural, but the access to it isn't good yet.",the place is the the the the the the the the the the the the the the the
16,b13d04b5037541a6950ddf55d172ed99,23-02-2022 18:12,Ciwangun Indah Camp (CIC),dengan ticket masuk 30rb bisa camping disini naik keatas sudah terlihat hamparan kebun teh dan curug,5,neutral,neutral,neutral,"with an entrance ticket of 30 thousand, you can camp here, going up reveals a stretch of tea plantation and a waterfall","With a 30,000 entrance ticket, you can camp here. Going up, you can already see the expanse of the tea plantation and a waterfall.",the place is the the the the the the the the the the the the the the the
17,3001c46ff50f4ca7a355a347cd4ebdaa,15-02-2020 12:57,Kebun Begonia Lembang,tempatnya nyaman dan bagus lokasinya pun mudah di jangkau cocok untuk family gathering,4,positive,neutral,positive,"The place is comfortable and the location is good and easy to reach, suitable for a family gathering.","The place is comfortable and nice, and the location is also easy to reach. Perfect for a family gathering.",the place is the the the the the the the the the the the the the the the
18,8ef068023bed4a73b2c4645cfb3aa605,15-02-2021 13:49,Curug Maribaya,sayangnya airnya kotor dengan limbah rumah tangga dan baunya itu lho,3,neutral,neutral,negative,"Unfortunately, the water is dirty with household waste and it stinks.","Unfortunately, the water is dirty with household waste, and the smell is just terrible.",the place is the the the the the the the the the the the the the the the
19,81d8eed79eee48a2841f8cf08e02a81d,15-06-2022 14:15,Bukit Senyum,tempat indah dn sejuk buat berlibur bersama keluarga tman pacr trjangkau cman jlan kurang bagus,5,negative,neutral,positive,"Beautiful and cool place to holiday with family, friends, or partner, affordable, only the road is not good","A beautiful and cool place for a vacation with family, friends, or a partner. Affordable, but the road is not very good.",the place is the the the the the the the the the the the the the the the
20,7facf4282df94e23a2218c3c63fdd18d,23-02-2020 18:22,Terminal Wisata Grafika Cikole,view oke spot foto oke outbound oke camping oke resort oke tempat makan oke walaupun masih banyak yang sedang pembenahan tapi udah cukup bagus dan nyaman,5,neutral,positive,positive,"view okay, photo spot okay, outbound okay, camping okay, resort okay, dining place okay, although many things are still under renovation, it's already good enough and comfortable","The view, photo spots, outbound activities, camping, resort, and dining places are all good. Even though many areas are still under renovation, it's already quite nice and comfortable.",the place is the the the the the the the the the the the the the the the
21,882d0cfb8ae54dfd9d4642839a685f50,15-02-2020 13:28,Stone Garden,seperti berada di puncak gunung keren dah parkir 50 tiket masuk per orang 80 bayar tiket dulu di bawah baru bayar parkir diatas,5,neutral,neutral,positive,"Like being on top of a cool mountain, damn. Parking is 50, entrance fee is 80 per person. Pay for the ticket first downstairs, then pay for parking upstairs.","It's like being on a mountaintop, so cool. Parking is 50, the entrance ticket is 80 per person. You pay for the ticket at the bottom first, then pay for parking at the top.",the place is the the the the the the the the the the the the the the the
22,d4477a8f09884312a2db2e879bc3e1bd,15-02-2019 13:48,Curug Maribaya,jalannya jauh tapi ada mamang ojeg yg siap antar jemput,3,neutral,neutral,neutral,"The road is far, but there's an ojek driver ready to pick up and drop off.","The journey is far, but there are motorcycle taxi drivers who are ready for pick-up and drop-off.",the place is the the the the the the the the the the the the the the the
23,3de951d197f74ed9bea37e37d629552d,08-02-2023 12:39,Sarae Hills,tempatnya luas dan bagus banget sumpah harus kesini pagi-pagi biar puas bisa explore kesemua tempat banyak banget tempat-tempat yg bisa dijadiin spot foto,5,neutral,neutral,positive,"The place is spacious and really good, swear, you have to come here early in the morning to be able to explore all the places to your heart's content, there are so many places that can be used as photo spots.","The place is spacious and really amazing, I swear. You have to get here early in the morning so you'll have enough time to explore all the spots. There are so many places that can be used as photo spots.",the place is the the the the the the the the the the the the the the the
24,e4db0cf66d244b869cc5b1aa65ec69df,23-02-2022 18:04,Gunung Tangkuban Parahu,tempatnya bagus banyak penjual lokal kalo kesini jangan lupa beli tas rajutnya akses jalan sudah cukup bagus,4,positive,positive,neutral,"The place is nice, with many local vendors. If you come here, don't forget to buy the knitted bag. The road access is quite good.","The place is nice with many local vendors. If you come here, don't forget to buy the knitted bags. The road access is quite good.",the place is the the the the the the the the the the the the the the the
25,3609893fe32a498cb17f7484284ff46f,15-02-2020 14:13,Sanghyang Kenit,bagus keren ada tempat bikin takjub dekat dari kota bandung wajib dikunjungi,3,neutral,neutral,neutral,"Great, cool, there's a stunning place close to Bandung city, a must-visit.","Awesome, amazing place near the city of Bandung. A must-visit.",the place is the the the the the the the the the the the the the the the
26,ca38f580476a4a429e07b8d9171b5b6a,15-01-2023 13:22,Gunung Putri Lembang,keren tapi gak recommended buat yang bawa anak kayaknya kemaren soalnya pas tahun baru banyak yg bawa anak kasian anaknya kan dingin bgt soalnya trus nanjak gitu,5,neutral,neutral,positive,"Cool, but not recommended for those bringing children, it seems. Yesterday, during New Year's, many people brought their kids, and I felt sorry for them because it was very cold and uphill.","It's cool, but probably not recommended for those with kids. I was there on New Year's and a lot of people brought their children; I felt sorry for the kids because it was very cold and it's an uphill climb.",the place is the the the the the the the the the the the the the the the
27,938be0fdd56a4300a5a184b7235c7cf9,15-09-2022 12:57,Kebun Begonia Lembang,tempat bagus banyak tempat duduk jd yg bawa bayi kalo cape bisa duduk-duduk dlu tiket masuk mayan terjangkau pas week end jg ga terlalu rame di dalam sayang ga bisa bawa makanan dri luar,2,neutral,positive,positive,"Good place, lots of seating so if you bring a baby and get tired, you can sit down for a bit. Entrance ticket is quite affordable. It's not too crowded inside on the weekend either. Too bad you can't bring food from outside.","Nice place with plenty of seating, so those with babies can sit down and rest if they get tired. The entrance ticket is quite affordable, and it's not too crowded inside even on the weekend. Unfortunately, you can't bring in outside food.",the place is the the the the the the the the the the the the the the the
28,6e2855c0eaca42e48d8852bd6ef8377e,23-02-2022 18:13,Ciwangun Indah Camp (CIC),keren kuy lanjut ke cikole lebih kuy lagi,5,neutral,neutral,neutral,"Cool, let's head to Cikole, even cooler!","Cool, let's go. Let's continue to Cikole, it'll be even more awesome.",the place is the the the the the the the the the the the the the the the
29,c1a19b8bb7cd408282f500453fbb0bba,15-02-2021 11:58,Curug Malela,tempat wisata curug malela bagus banget semua rasa cape terbayarkan oleh ke indahan gurug melela,5,negative,neutral,positive,"Curug Malela tourist spot is really good, all the fatigue is paid off by the beauty of Curug Malela.","The Malela Waterfall tourist spot is so beautiful, all the tiredness was paid off by the beauty of the waterfall.",the place is the the the the the the the the the the the the the the the
30,e07a4177f40c4b779be0302262f5f2db,15-02-2019 13:22,Gunung Putri Lembang,ini cocok untuk yang mau mendaki pemula ketinggiannya 1580mdpl ga jauh dari pemukiman disini juga bisa camping cocok untuk keluarga di atas juga ada toilet asik pokoknya yang belum dan mau kesini silahkan untuk kondisi jalan aman untuk di lalui kendaraan pribadi dan tersedia lahan parkir yg cukup luas,5,positive,neutral,neutral,"This is suitable for beginner hikers, with an altitude of 1580 meters above sea level. It's not far from settlements, and you can also camp here, which is great for families. There are also toilets at the top. It's just great overall. For those who haven't been and want to come here, please do. The road condition is safe for private vehicles, and there is ample parking space available.","This is suitable for beginner hikers, with an altitude of 1580 meters above sea level and not far from residential areas. You can also camp here, making it suitable for families. There is also a toilet at the top. All in all, it's a great place. For those who haven't been and want to come, you definitely should. The road is safe for private vehicles, and a large parking area is available.",the place is the the the the the the the the the the the the the the the
31,140264ff2ab940118c6a222789b6072a,15-02-2022 13:22,Gunung Putri Lembang,gowes adventure bomber adventure cocok buat gowes pecinta alam bisa melihat kota lembang dan kota bandung diatas puncak fasilitas lengkap pokoknya kie pisan,5,neutral,positive,neutral,"Cycling adventure, bomber adventure, suitable for cycling lovers, can see Lembang and Bandung cities from the peak, complete facilities, definitely really cool.","An awesome cycling adventure, perfect for nature lovers. You can see the cities of Lembang and Bandung from the peak. With complete facilities, it's simply the best",the place is the the the the the the the the the the the the the the the
32,a14bcc5028dd412ba6400718944de8a8,15-05-2022 12:24,Curug Tilu Leuwi Opat,tempatnya sangat indah luas sehingga hampir di setiap area dapat dijadikan spot photo yang cantik semoga kesan alaminya dapat dijaga oleh pengelola tanpa menambah hiasan hiasan atau mainan anak anak berwarna warni dangdut nan norak,5,neutral,positive,positive,"The place is very beautiful and spacious, so almost every area can be made into a pretty photo spot. Hopefully, its natural impression can be maintained by the management without adding tacky, colorful decorations or children's toys.","The place is very beautiful and spacious, so almost every area can be used as a lovely photo spot. Hopefully, the management can preserve its natural feel without adding tacky, colorful decorations or children's toys.",the place is the the the the the the the the the the the the the the the
33,aa476e15eeeb4fcd880e953fe4691149,23-01-2023 18:22,Terminal Wisata Grafika Cikole,sejuk tempat luas buat olahraga jalan kaki naik turun tangga juga,5,neutral,positive,positive,"cool spacious place for walking exercise, up and down stairs too","A cool and spacious place for exercise, walking, and also going up and down stairs.",the place is the the the the the the the the the the the the the the the
34,5e8da5099bef445c8dc8f60015d42d91,15-02-2022 13:28,Stone Garden,sllu senang wlo pun krja tak ada libur jln untuk liburan pasti di usahain bolos,5,neutral,neutral,neutral,"Happy even though there's no work holiday, I'll definitely try to skip work for a vacation.","Always happy, even though I work with no days off. I'll definitely find a way to skip for a vacation.",the place is the the the the the the the the the the the the the the the
35,beb9faf41538412690fcf9d567d45899,15-02-2019 11:58,Curug Malela,curugnya bagus baget walaupun airnya ga bersih tapi gaberbau dan viewnya oke banget jalannanya masih cukup mainstream terjal dan menanjak apalagi kalau hujan karena jalannya masih tanah jadi sangat licin fasilitas udah lengkap banget bangunan bangunan sekitar pinggiran curugnya dirapihin lagi,4,negative,positive,positive,"The waterfall is very nice, even though the water isn't clean, it doesn't smell and the view is really great. The path is still quite mainstream, steep and uphill, especially when it rains because the road is still dirt so it's very slippery. The facilities are very complete, the buildings around the edge of the waterfall have been tidied up again.","The waterfall is very beautiful. Even though the water isn't clean, it doesn't smell and the view is fantastic. The path is still quite challenging, steep and uphill, especially when it rains because it's still a dirt path so it gets very slippery. The facilities are very complete, and the buildings around the edge of the waterfall are being tidied up.",the place is the the the the the the the the the the the the the the the
36,569bc55769d44a2eabb828ca10cb4531,23-11-2022 17:57,Floating Market Lembang,tau kan arti recommended pokoknya datang dan rasakan sensasinya,5,neutral,neutral,neutral,"You know what recommended means, just come and feel the sensation.",You know the meaning of 'recommended'. Just come and experience the sensation.,the place is the the the the the the the the the the the the the the the
37,8762e7db8b8947deaa09b7c54a0b7fbd,23-02-2019 18:22,Terminal Wisata Grafika Cikole,mantap pokoknya tiket masuk sangat terjangkau pemandangan dan suasana alamnya bikin adem hati recommended banget lah utk liburan di akhir pekan,5,neutral,positive,positive,"Awesome, the entrance ticket is very affordable, the scenery and natural atmosphere are very soothing. Highly recommended for a weekend getaway.","Basically, it's great. The entrance ticket is very affordable, and the scenery and natural atmosphere are so soothing. Highly recommended for a weekend getaway.",the place is the the the the the the the the the the the the the the the
38,b5306ab69b6441c1ae3a60fc36af6740,15-02-2022 13:04,Taman Lembah DEWATA,tempat yang sangat bagus suasananya adeem dan tidak terlalu rame viewnya luar biasa hiburan untuk anak-anak ada sepeda air dll berkuda penyewaan sepeda listrik scooter dll utk keliling lembah makanannya yg kurang variatif dan tidak boleh membawa makanan dr luar,5,neutral,negative,positive,"A very nice place, the atmosphere is cool and not too crowded. The view is amazing. There is entertainment for children, like paddle boats etc., horse riding, and rental of electric bikes, scooters etc. for touring the valley. The food is lacking variety and outside food is not allowed.","A very nice place, the atmosphere is calm and not too crowded. The view is extraordinary. There is entertainment for children like paddle boats, etc., horseback riding, and rentals for electric bikes, scooters, etc., to go around the valley. The food is not very varied, and you are not allowed to bring food from outside.",the place is the the the the the the the the the the the the the the the
39,e5741206ea054a21943978453e03876b,23-02-2020 18:13,Ciwangun Indah Camp (CIC),indah sejuk dekat sejajar dengan tiga atau empat air terjun tepat sebelum air terjun,5,neutral,neutral,neutral,beautiful cool next to parallel with three or four waterfalls just before the waterfall,"Beautiful and cool, close and parallel to three or four waterfalls right before the waterfall.",the place is the the the the the the the the the the the the the the the
40,5e2bb048a90d4c16a5ae840ef97afdb4,25-01-2023 14:13,Sanghyang Kenit,banyak buat spot foto khususnya preweding fotographer sekitaran bandung sudah banyak tau tempat ini lokasi ini daerah waduk plta saguling,5,neutral,neutral,positive,"Many create photo spots, especially for pre-wedding photographers around Bandung. Many photographers already know this place. This location is in the Saguling PLTA dam area.","There are many photo spots, especially for pre-wedding shoots. Many photographers around Bandung are already familiar with this place. This location is in the Saguling hydropower dam area.",the place is the the the the the the the the the the the the the the the
41,c095885cc691475380c9bbf907d8d00b,23-02-2020 18:22,Terminal Wisata Grafika Cikole,the best place lumayan trackingnya nanjak dan turunannya viewnya oke banget walaupun rame kalo hari libur overall keren banget,5,neutral,neutral,positive,"The best place, the tracking is okay, with ups and downs. The view is really great, even though it's crowded on holidays. Overall, it's really cool.","The best place. The hike is pretty challenging with its uphills and downhills, and the view is amazing. Although it's crowded on holidays, overall it's fantastic.",the place is the the the the the the the the the the the the the the the
42,37320d1af0b8451cabf7184fc93a62c2,15-02-2019 13:43,Sanghyang Heuleut,waktu paling pas buat main kesini saat lg kemarau saya juni 2018 air lg bening bgt hijau ke biru-biruan karena trekking untuk ke lokasi lumayan disarankan pake sepatu yg tidak licin ga usah bawa banyak barang di sana juga ada warung dan warganya ramah-ramah,5,neutral,neutral,neutral,"The best time to visit is during the dry season. I came in June 2018 and the water was crystal clear, a greenish-blue color. Because the trek to the location is quite challenging, it's recommended to wear non-slip shoes. You don't need to bring much, as there are also stalls there and the locals are very friendly.","The best time to visit is during the dry season. I was here in June 2018, and the water was very clear, a greenish-blue color. Because the trek to the location is quite a ways, it's recommended to wear non-slip shoes. You don't need to bring a lot of things; there are also small food stalls there, and the locals are very friendly.",the place is the the the the the the the the the the the the the the the
43,30ae55889564453a904446adb3973515,23-02-2022 18:04,Gunung Tangkuban Parahu,harga tiket masuk 20ribuan per orang lokasi sekitar 45menit dari kota lembang banyak pedagang oleh-oleh di lokasi dan tersedia masjid serta toilet di lokasi,4,neutral,neutral,neutral,"Entrance ticket price around 20,000 per person, location about 45 minutes from Lembang city, many souvenir vendors at the location, and a mosque and toilets are available on site.","The entrance fee is around 20,000 per person. The location is about 45 minutes from the town of Lembang. There are many souvenir vendors at the location, and a mosque and toilets are also available.",the place is the the the the the the the the the the the the the the the
44,9d4a0cdef08443779963f3e7bb2e2d8f,16-02-2023 17:58,Floating Market Lembang,saya dah 2x kesini so far bisa bikin anak-anak sy happy kok cm yg agak kurang nyaman parkirannya aja kl pas penuh dpt parkiran dilapangan yg becek krn tanah gt tp utk tempatnya bagus suasananya recommended dg harga tiket masuk yg standart murah cm gak boleh bawa makanan,5,neutral,negative,positive,"I've been here twice already, and it always makes my kids happy. The only thing that's a bit inconvenient is the parking. When it's full, you end up parking in a muddy field because it's just dirt. But the place itself is good, the atmosphere is recommended, and the entrance ticket price is standard and cheap. However, you're not allowed to bring your own food.","I've been here twice and so far, it has managed to make my kids happy. The only slightly inconvenient thing is the parking. If it's full, you have to park in a field that gets muddy because it's just a dirt lot. But the place itself is nice, the atmosphere is recommended, and the entrance ticket is a standard cheap price, you just aren't allowed to bring your own food.",the place is the the the the the the the the the the the the the the the
45,9b24afc480274173bd1f2f6659d91ba6,23-09-2022 18:34,Orchid Forest Cikole,tempatnya bagus instagramable adem cuma ga bisa makan di area wisatanya,5,neutral,negative,positive,"The place is good, instagrammable, and cool, but you can't eat in the tourist area.","The place is nice, Instagrammable, and cool, but you can't eat in the tourist area.",the place is the the the the the the the the the the the the the the the
46,241bb6e6a1ca410a834d20ce34ce5e0d,15-02-2019 13:29,Stone Garden,pandai-pandailah memilih spot niscaya hasilnya luar biasa saat tiba seperti biasa saja karena belum dikelola secara profesional bisa dimaklumi sampah masih ada di sana sini tapi tidak parah buat saya asyik lah,4,neutral,negative,neutral,"Be smart in choosing your spot, and the results will be extraordinary when you arrive. As usual, it's understandable that it hasn't been managed professionally yet, with trash still here and there, but it's not severe. For me, it's enjoyable.","Be smart about choosing your spot, and the results will surely be extraordinary. When you arrive, it seems just ordinary because it hasn't been professionally managed. It's understandable that there's still trash here and there, but it's not too bad. For me, it was fun.",the place is the the the the the the the the the the the the the the the
47,73a660e107b047a49a1881551b102112,23-02-2020 18:04,Gunung Tangkuban Parahu,view yg indah bawa keluarga tempat bersih jalanan rapih masih pagi jd gak begitu macet semoga lain waktu bisa kembali lagih,5,positive,positive,positive,"Beautiful view, brought the family, clean place, tidy streets. It was still early so it wasn't too crowded. Hope to be able to come back again next time.","Beautiful view, a great place to bring the family. The place is clean and the streets are neat. It's still early in the morning, so it's not too congested. Hopefully, I can come back again another time.",the place is the the the the the the the the the the the the the the the
48,d2cbd938787b4b6687b4333894bc98e5,15-02-2019 12:57,Kebun Begonia Lembang,amazing relatif murah surga buat selfie mania banyak spot bagus untuk foto udara sejuk pemandangan indah bisa petik buah sayur lgs di kebun,5,neutral,positive,positive,"Amazing, relatively cheap paradise for selfie fanatics, many good spots for aerial photos, cool, beautiful scenery, can pick fruits and vegetables directly from the garden.","Amazing and relatively cheap. A paradise for selfie lovers with many good spots for photos. The air is cool, the scenery is beautiful, and you can pick fruits and vegetables directly from the garden.",the place is the the the the the the the the the the the the the the the
49,fec2f40274cd43dda613013091099f8b,23-02-2021 18:34,Orchid Forest Cikole,mantap dingin hanya spot foto dan ada live music juga,5,neutral,positive,positive,"Awesome, cold, there's only a photo spot and live music too.","Awesome and cool, there are photo spots and live music too.",the place is the the the the the the the the the the the the the the the
50,2cc7f7940b1140a7bc2f9e0dc1f5ec27,23-02-2022 18:35,Orchid Forest Cikole,spot fotonya banyak banget view siang sorenya indah dengan udara sejuknya cikole betah buat lama-lama disini sayangnya pas kesini lg hujan jadi sebentar doang disininya recommended buat yg suka foto selfie,4,neutral,neutral,positive,"There are so many photo spots. The views during the day and evening are beautiful, with cool air. It's so comfortable here in Cikole that you want to stay for a long time. Unfortunately, it was raining when I came, so I could only stay for a short while. It's recommended for those who like taking selfies.","There are so many photo spots. The afternoon and evening views are beautiful with the cool Cikole air; you could comfortably spend a long time here. Unfortunately, it was raining when I came, so I was only here for a little while. Recommended for those who like to take photos and selfies.",the place is the the the the the the the the the the the the the the the
51,14bd843e814243db91a800b897a5a38e,15-02-2020 13:49,Curug Maribaya,tempat wisata yang menarik untuk dikunjungi oleh peminat yang alami sejuk dan nyaman,5,neutral,neutral,positive,"An interesting tourist spot to visit for those who enjoy nature, coolness, and comfort.","An interesting tourist attraction for those who enjoy cool, comfortable, and natural places.",the place is the the the the the the the the the the the the the the the
52,513acb3887034b959df52a92412eec82,23-02-2019 18:23,Terminal Wisata Grafika Cikole,tempatnya bagus pelayanan ok pilihan roomnya jg lumayan beragam cuma airnya kurang bagus,5,neutral,negative,neutral,"The place is nice, the service is okay, the room options are quite varied, but the water isn't very good.","The place is nice, the service is okay, and the room selection is also quite varied, but the water isn't very good.",the place is the the the the the the the the the the the the the the the
53,f5013e76b05d4e9098a0d73f5a2d31cd,15-02-2019 12:57,Kebun Begonia Lembang,sesuai namanya tanamannya begonia semua mayoritas harga relatif terjangkau 15k org anak usia 2th mulai dikenakan tiket,4,neutral,neutral,neutral,"As its name suggests, all the plants are begonias, and most are relatively affordable at 15k. Children aged 2 and up are charged a ticket.","As the name suggests, the plants are mostly all begonias. The price is relatively affordable at 15k per person. A ticket is required for children starting from 2 years of age.",the place is the the the the the the the the the the the the the the the
54,f38529104be44586ae390dbc4b3fc04d,23-05-2022 18:04,Gunung Tangkuban Parahu,tempat wisata di lembang udara sejuk cuma agak bau belerang bnyk cemilan dan bnyk yg jual souvernir berkabut bgt harus hati-hati klo jalan,5,neutral,positive,positive,"Tourist spot in Lembang, cool air, just a bit of a sulfur smell, lots of snacks and many souvenir sellers. It's very foggy, so be careful when walking.","A tourist spot in Lembang. The air is cool, but it smells a bit like sulfur. There are lots of snacks and many people selling souvenirs. It's very foggy, so you have to be careful when walking.",the place is the the the the the the the the the the the the the the the
